GEOID,sovi,rank
g01001,,
g01003,,
g01005,,
g01007,,
g01009,,
g01011,,
g01013,,
g01015,,
g01017,,
g01019,,
g01021,,
g01023,,
g01025,,
g01027,,
g01029,,
g01031,,
g01033,,
g01035,,
g01037,,
g01039,,
g01041,,
g01043,,
g01045,,
g01047,,
g01049,,
g01051,,
g01053,,
g01055,,
g01057,,
g01059,,
g01061,,
g01063,,
g01065,,
g01067,,
g01069,,
g01071,,
g01073,,
g01075,,
g01077,,
g01079,,
g01081,,
g01083,,
g01085,,
g01087,,
g01089,,
g01091,,
g01093,,
g01095,,
g01097,,
g01099,,
g01101,,
g01103,,
g01105,,
g01107,,
g01109,,
g01111,,
g01113,,
g01115,,
g01117,,
g01119,,
g01121,,
g01123,,
g01125,,
g01127,,
g01129,,
g01131,,
g01133,,
g02013,,
g02016,,
g02020,,
g02050,,
g02060,,
g02068,,
g02070,,
g02090,,
g02100,,
g02105,,
g02110,,
g02122,,
g02130,,
g02150,,
g02164,,
g02170,,
g02180,,
g02185,,
g02188,,
g02195,,
g02198,,
g02220,,
g02230,,
g02240,,
g02261,,
g02270,,
g02275,,
g02282,,
g02290,,
g04001,,
g04003,,
g04005,,
g04007,,
g04009,,
g04011,,
g04012,,
g04013,,
g04015,,
g04017,,
g04019,,
g04021,,
g04023,,
g04025,,
g04027,,
g05001,,
g05003,,
g05005,,
g05007,,
g05009,,
g05011,,
g05013,,
g05015,,
g05017,,
g05019,,
g05021,,
g05023,,
g05025,,
g05027,,
g05029,,
g05031,,
g05033,,
g05035,,
g05037,,
g05039,,
g05041,,
g05043,,
g05045,,
g05047,,
g05049,,
g05051,,
g05053,,
g05055,,
g05057,,
g05059,,
g05061,,
g05063,,
g05065,,
g05067,,
g05069,,
g05071,,
g05073,,
g05075,,
g05077,,
g05079,,
g05081,,
g05083,,
g05085,,
g05087,,
g05089,,
g05091,,
g05093,,
g05095,,
g05097,,
g05099,,
g05101,,
g05103,,
g05105,,
g05107,,
g05109,,
g05111,,
g05113,,
g05115,,
g05117,,
g05119,,
g05121,,
g05123,,
g05125,,
g05127,,
g05129,,
g05131,,
g05133,,
g05135,,
g05137,,
g05139,,
g05141,,
g05143,,
g05145,,
g05147,,
g05149,,
g06001,,
g06003,,
g06005,,
g06007,,
g06009,,
g06011,,
g06013,,
g06015,,
g06017,,
g06019,,
g06021,,
g06023,,
g06025,,
g06027,,
g06029,,
g06031,,
g06033,,
g06035,,
g06037,,
g06039,,
g06041,,
g06043,,
g06045,,
g06047,,
g06049,,
g06051,,
g06053,,
g06055,,
g06057,,
g06059,,
g06061,,
g06063,,
g06065,,
g06067,,
g06069,,
g06071,,
g06073,,
g06075,,
g06077,,
g06079,,
g06081,,
g06083,,
g06085,,
g06087,,
g06089,,
g06091,,
g06093,,
g06095,,
g06097,,
g06099,,
g06101,,
g06103,,
g06105,,
g06107,,
g06109,,
g06111,,
g06113,,
g06115,,
g08001,,
g08003,,
g08005,,
g08007,,
g08009,,
g08011,,
g08013,,
g08014,,
g08015,,
g08017,,
